,uncased,nominative,genitive,dative,accusative,instrumental,locative,vocative
182,miesiąc,miesiąc,miesiąca,miesiącowi,miesiąc,miesiącem,miesiącu,miesiącu!
183,nazwisko,nazwisko,nazwiska,nazwisku,nazwisko,nazwiskiem,nazwisku,nazwisko
188,statek,statek,statku,statkowi,statek,statkiem,statku,statku
189,dół,dół,dołu,dołowi,dół,dołem,dole,dole!
190,spotkanie,spotkanie,spotkania,spotkaniu,spotkanie,spotkaniem,spotkaniu,spotkanie
194,wiedza,wiedza,wiedzy,wiedzy,wiedzę,wiedzą,wiedzy,wiedzo!
196,film,film,filmu,filmowi,film,filmem,filmie,film
197,kłopot,kłopot,kłopotu,kłopotowi,kłopot,kłopotem,kłopocie,kłopocie
199,szansa,szansa,szansy,szansie,szansę,szansą,szansie,szanso
200,chłopiec,chłopiec,chłopca,chłopcu,chłopca,chłopcem,chłopcu,chłopcze
201,przyjaciel,przyjaciel,przyjaciela,przyjacielowi,przyjaciela,przyjacielem,przyjacielu,przyjacielu!
203,szkoda,szkoda,szkody,szkodzie,szkodę,szkodą,szkodzie,szkodo
206,kraj,kraj,kraju,krajowi,kraj,krajem,kraju,kraju
207,dać,dal,dali,dali,dal,dalą,dali,dal
208,brak,brak,braku,brakowi,brak,brakiem,braku,braku
211,tom,tom,tomu,tomowi,tom,tomem,tomie,tomie
212,widzenie,widzenie,widzenia,widzeniu,widzenie,widzeniem,widzeniu,widzenie
218,przykład,przykład,przykładu,przykładowi,przykład,przykładem,przykładzie,przykładzie
219,powodzenie,powodzenie,powodzenia,powodzeniu,powodzenie,powodzeniem,powodzeniu,powodzenie
221,uwaga,uwaga,uwagi,uwadze,uwagę,uwagą,uwadze,uwago!
225,szef,szef,szefa,szefowi,szefa,szefem,szefie,szefie!
229,gość,gość,gościa,gościowi,gościa,gościem,gościu,gościu
230,chwileczka,chwileczka,chwileczki,chwileczce,chwileczkę,chwileczką,chwileczce,chwileczko
234,większość,większość,większości,większości,większość,większością,większości,większości
237,cel,cel,celu,celowi,cel,celem,celu,celu
238,początek,początek,początku,początkowi,początek,początkiem,początku,początku!
239,historia,historia,historii,historii,historię,historią,historii,historio
243,los,los,losu,losowi,los,losem,losie,losie
244,wiadomości,wiadomość,wiadomości,wiadomości,wiadomość,wiadomością,wiadomości,wiadomości!
245,noga,noga,nogi,nodze,nogę,nogą,nodze,nogo!
246,ulica,ulica,ulicy,ulicy,ulicę,ulicą,ulicy,ulico
248,jechać,jędza,jędzy,jędzy,jędzę,jedzą,jędzy,jędzo
249,wojna,wojna,wojny,wojnie,wojnę,wojną,wojnie,wojno!
250,ciąg,ciąg,ciągu,ciągowi,ciąg,ciągiem,ciągu,ciągu
251,okazja,okazja,okazji,okazji,okazję,okazją,okazji,okazjo!
257,wiek,wiek,wieku,wiekowi,wiek,wiekiem,wieku,wieku!
258,siostra,siostra,siostrze,siostrze,siostrę,siostrą,siostrze,siostro
260,córka,córka,córki,córce,córkę,córką,córce,córko
261,mężczyzna,mężczyzna,mężczyzny,mężczyźnie,mężczyznę,mężczyzną,mężczyźnie,mężczyzno
263,tyłek,tyłek,tyłka,tyłkowi,tyłek,tyłkiem,tyłku,tyłku
264,osoba,osoba,osoby,osobie,osobę,osobą,osobie,osobo
267,boleć,ból,bólu,bólowi,ból,bólem,bólu,bólu
268,moment,moment,momentu,momentowi,moment,momentem,momencie,momencie
273,wybór,wybór,wyboru,wyborowi,wybór,wyborem,wyborze,wyborze!
283,światło,światło,światła,światłu,światło,światłem,świetle,światło!
284,milion,milion,miliona,milionowi,milion,milionem,milionie,milionie
285,rozkaz,rozkaz,rozkazu,rozkazowi,rozkaz,rozkazem,rozkazie,rozkazie
286,odpowiedź,odpowiedź,odpowiedzi,odpowiedzi,odpowiedź,odpowiedzią,odpowiedzi,odpowiedzi
287,walka,walka,walki,walce,walkę,walką,walce,walko
288,głos,głos,głosu,głosowi,głos,głosem,głosie,głosie
289,zająć,zając,zająca,zającowi,zająca,zającem,zającu,zającu
290,szpital,szpital,szpitala,szpitalowi,szpital,szpitalem,szpitalu,szpitalu
292,samolot,samolot,samolotu,samolotowi,samolot,samolotem,samolocie,samolocie!
294,panna,panna,panny,pannie,pannę,panną,pannie,panno
295,centrum,centrum,centrum,centrum,centrum,centrum,centrum,centrum
297,taca,taca,tacy,tacy,tacę,tacą,tacy,taco
298,hotel,hotel,hotelu,hotelowi,hotel,hotelem,hotelu,hotelu
299,seks,seks,seksu,seksowi,seks,seksem,seksie,seksie
300,interes,interes,interesu,interesowi,interes,interesem,interesie,interesie
301,ogień,ogień,ognia,ogniowi,ogień,ogniem,ogniu,ogniu
302,reszta,reszta,reszty,reszcie,resztę,resztą,reszcie,reszto!
303,sen,sen,snu,snowi,sen,snem,śnie,śnie
305,moc,moc,mocy,mocy,moc,mocą,mocy,mocy
307,ból,ból,bólu,bólowi,ból,bólem,bólu,bólu
308,znaczenie,znaczenie,znaczenia,znaczeniu,znaczenie,znaczeniem,znaczeniu,znaczenie!
309,kolacja,kolacja,kolacji,kolacji,kolację,kolacją,kolacji,kolacjo
312,łóżko,łóżko,łóżka,łóżku,łóżko,łóżkiem,łóżku,łóżko!
315,pies,pies,psa,psu,psa,psem,psie,psie!
317,przyszłość,przyszłość,przyszłości,przyszłości,przyszłość,przyszłością,przyszłości,przyszłości!
318,jedzenie,jedzenie,jedzenia,jedzeniu,jedzenie,jedzeniem,jedzeniu,jedzenie
319,system,system,systemu,systemowi,system,systemem,systemie,systemie!
320,nieprawda,nieprawda,nieprawdy,nieprawdzie,nieprawdę,nieprawdą,nieprawdzie,nieprawdo!
321,biuro,biuro,biura,biuru,biuro,biurem,biurze,biuro
327,siła,siła,siły,sile,siłę,siłą,sile,siło
329,jajo,jajo,jaja,jaju,jajo,jajem,jaju,jajo
337,informacja,informacja,informacji,informacji,informację,informacją,informacji,informacjo
338,przyjść,przyjście,przyjścia,przyjściu,przyjście,przyjściem,przyjściu,przyjście
340,prezent,prezent,prezentu,prezentowi,prezent,prezentem,prezencie,prezencie!
341,klucz,klucz,klucza,kluczowi,klucz,kluczem,kluczu,kluczu
342,list,list,listu,listowi,list,listem,liście,liście!
343,wieść,wieść,wieści,wieści,wieść,wieścią,wieści,wieści
345,zamiar,zamiar,zamiaru,zamiarowi,zamiar,zamiarem,zamiarze,zamiarze!
351,oko,oko,oka,oku,oko,okiem,oku,oko
352,sens,sens,sensu,sensowi,sens,sensem,sensie,sensie
353,więzienie,więzienie,więzienia,więzieniu,więzienie,więzieniem,więzieniu,więzienie
354,przejść,przejście,przejścia,przejściu,przejście,przejściem,przejściu,przejście
355,potrzeba,potrzeba,potrzeby,potrzebie,potrzebę,potrzebą,potrzebie,potrzebo!
357,sytuacja,sytuacja,sytuacji,sytuacji,sytuację,sytuacją,sytuacji,sytuacjo
359,jazda,jazda,jazdy,jeździe,jazdę,jazdą,jeździe,jazdo
360,zasada,zasada,zasady,zasadzie,zasadę,zasadą,zasadzie,zasado
361,książka,książka,książki,książce,książkę,książką,książce,książko
363,bezpieczeństwo,bezpieczeństwo,bezpieczeństwa,bezpieczeństwu,bezpieczeństwo,bezpieczeństwem,bezpieczeństwie,bezpieczeństwo
366,obiad,obiad,obiadu,obiadowi,obiad,obiadem,obiedzie,obiedzie
370,drink,drink,drinka,drinkowi,drinka,drinkiem,drinku,drinku
371,atak,atak,ataku,atakowi,atak,atakiem,ataku,ataku
372,prezydent,prezydent,prezydenta,prezydentowi,prezydenta,prezydentem,prezydencie,prezydencie!
373,korekta,korekta,korekty,korekcie,korektę,korektą,korekcie,korekto
375,wersja,wersja,wersji,wersji,wersję,wersją,wersji,wersjo!
379,znak,znak,znaku,znakowi,znak,znakiem,znaku,znaku!
380,związek,związek,związku,związkowi,związek,związkiem,związku,związku
381,wola,wola,woli,woli,wolę,wolą,woli,wolo
382,król,król,króla,królowi,króla,królem,królu,królu!
384,generał,generał,generała,generałowi,generała,generałem,generale,generale
386,rodzic,rodzic,rodzica,rodzicowi,rodzica,rodzicem,rodzicu,rodzicu!
387,dzieciak,dzieciak,dzieciaka,dzieciakowi,dzieciaka,dzieciakiem,dzieciaku,dzieciaku
388,przyjęcie,przyjęcie,przyjęcia,przyjęciu,przyjęcie,przyjęciem,przyjęciu,przyjęcie
389,agent,agent,agenta,agentowi,agenta,agentem,agencie,agencie
390,zadanie,zadanie,zadania,zadaniu,zadanie,zadaniem,zadaniu,zadanie!
391,rodzaj,rodzaj,rodzaju,rodzajowi,rodzaj,rodzajem,rodzaju,rodzaju
392,wysokość,wysokość,wysokości,wysokości,wysokość,wysokością,wysokości,wysokości
396,zdanie,zdanie,zdania,zdaniu,zdanie,zdaniem,zdaniu,zdanie!
397,mózg,mózg,mózgu,mózgowi,mózg,mózgiem,mózgu,mózgu!
398,piwo,piwo,piwa,piwu,piwo,piwem,piwie,piwo
400,styl,styl,stylu,stylowi,styl,stylem,stylu,stylu!
401,por,por,pora,porowi,pora,porem,porze,porze
402,kawa,kawa,kawy,kawie,kawę,kawą,kawie,kawo
403,sygnał,sygnał,sygnału,sygnałowi,sygnał,sygnałem,sygnale,sygnale!
404,grupa,grupa,grupy,grupie,grupę,grupą,grupie,grupo
405,kolega,kolega,kolegi,koledze,kolegę,kolegą,koledze,kolego!
407,ślub,ślub,ślubu,ślubowi,ślub,ślubem,ślubie,ślubie
409,dupa,dupa,dupy,dupie,dupę,dupą,dupie,dupo
411,dowód,dowód,dowodu,dowodowi,dowód,dowodem,dowodzie,dowodzie
412,program,program,programu,programowi,program,programem,programie,programie
415,budynek,budynek,budynku,budynkowi,budynek,budynkiem,budynku,budynku
416,kawałek,kawałek,kawałka,kawałkowi,kawałek,kawałkiem,kawałku,kawałku
418,firma,firma,firmy,firmie,firmę,firmą,firmie,firmo
422,metr,metr,metra,metrowi,metr,metrem,metrze,metrze!
426,uczucie,uczucie,uczucia,uczuciu,uczucie,uczuciem,uczuciu,uczucie!
427,lekarz,lekarz,lekarza,lekarzowi,lekarza,lekarzem,lekarzu,lekarzu
431,adres,adres,adresu,adresowi,adres,adresem,adresie,adresie
433,rząd,rząd,rzędu,rzędowi,rząd,rządem,rządzie,rządzie
438,ruch,ruch,ruchu,ruchowi,ruch,ruchem,ruchu,ruchu
440,sad,sad,sadu,sadowi,sad,sadem,sadzie,sadzie
444,ciąża,ciąża,ciąży,ciąży,ciążę,ciążą,ciąży,ciążo!
445,zimno,zimno,zimna,zimnu,zimno,zimnem,zimnie,zimno!
449,weekend,weekend,weekendu,weekendowi,weekend,weekendem,weekendzie,weekendzie
450,kontakt,kontakt,kontaktu,kontaktowi,kontakt,kontaktem,kontakcie,kontakcie!
451,kość,kość,kości,kości,kość,kością,kości,kości
452,pobliże,pobliże,pobliża,pobliżu,pobliże,pobliżem,pobliżu,pobliże!
453,telewizja,telewizja,telewizji,telewizji,telewizję,telewizją,telewizji,telewizjo
454,morderstwo,morderstwo,morderstwa,morderstwu,morderstwo,morderstwem,morderstwie,morderstwo
455,okno,okno,okna,oknu,okno,oknem,oknie,okno
457,podróż,podróż,podróży,podróży,podróż,podróżą,podróży,podróży!
458,kolej,kolej,kolei,kolei,kolej,koleją,kolei,kolei
459,laboratorium,laboratorium,laboratorium,laboratorium,laboratorium,laboratorium,laboratorium,laboratorium
460,powiedzenie,powiedzenie,powiedzenia,powiedzeniu,powiedzenie,powiedzeniem,powiedzeniu,powiedzenie
461,mieszkanie,mieszkanie,mieszkania,mieszkaniu,mieszkanie,mieszkaniem,mieszkaniu,mieszkanie
463,ochota,ochota,ochoty,ochocie,ochotę,ochotą,ochocie,ochoto
464,zespół,zespół,zespołu,zespołowi,zespół,zespołem,zespole,zespole!
466,święto,święto,święta,świętu,święto,świętem,święcie,święto!
467,badanie,badanie,badania,badaniu,badanie,badaniem,badaniu,badanie
468,wóz,wóz,wozu,wozowi,wóz,wozem,wozie,wozie
469,USA,USA,USA,USA,USA,USA,USA,USA
470,wrażenie,wrażenie,wrażenia,wrażeniu,wrażenie,wrażeniem,wrażeniu,wrażenie!
472,ślad,ślad,śladu,śladowi,ślad,śladem,śladzie,śladzie
474,linia,linia,linii,linii,linię,linią,linii,linio
476,fakt,fakt,faktu,faktowi,fakt,faktem,fakcie,fakt
477,śniadanie,śniadanie,śniadania,śniadaniu,śniadanie,śniadaniem,śniadaniu,śniadanie
479,odbiór,odbiór,odbioru,odbiorowi,odbiór,odbiorem,odbiorze,odbiorze
480,karta,karta,karty,karcie,kartę,kartą,karcie,karto
481,mistrz,mistrz,mistrza,mistrzowi,mistrza,mistrzem,mistrzu,mistrzu!
485,obraz,obraz,obrazu,obrazowi,obraz,obrazem,obrazie,obrazie
487,możliwość,możliwość,możliwości,możliwości,możliwość,możliwością,możliwości,możliwości!
488,przyjemność,przyjemność,przyjemności,przyjemności,przyjemność,przyjemnością,przyjemności,przyjemności!
491,ofiara,ofiara,ofiary,ofierze,ofiarę,ofiarą,ofierze,ofiaro
492,słońce,słońce,słońca,słońcu,słońce,słońcem,słońcu,słońce
497,udział,udział,udziału,udziałowi,udział,udziałem,udziale,udziale
498,mecz,mecz,meczu,meczowi,mecz,meczem,meczu,meczu
499,kuchnia,kuchnia,kuchni,kuchni,kuchnię,kuchnią,kuchni,kuchnio
500,zabawa,zabawa,zabawy,zabawie,zabawę,zabawą,zabawie,zabawo
501,bank,bank,banku,bankowi,bank,bankiem,banku,banku!
503,zgoda,zgoda,zgody,zgodzie,zgodę,zgodą,zgodzie,zgodo
505,krok,krok,kroku,krokowi,krok,krokiem,kroku,kroku
506,kasa,kasa,kasy,kasie,kasę,kasą,kasie,kaso
507,dno,dno,dna,dnu,dno,dnem,dnie,dnie
508,kod,kod,kodu,kodowi,kod,kodem,kodzie,kodzie
515,akcja,akcja,akcji,akcji,akcję,akcją,akcji,akcjo
517,teren,teren,terenu,terenowi,teren,terenem,terenie,terenie
518,towar,towar,towaru,towarowi,towar,towarem,towarze,towarze
520,łódź,łódź,łodzi,łodzi,łódź,łodzią,łodzi,łodzi
521,dziewczynka,dziewczynka,dziewczynki,dziewczynce,dziewczynkę,dziewczynką,dziewczynce,dziewczynko
525,powietrze,powietrze,powietrza,powietrzu,powietrze,powietrzem,powietrzu,powietrze!
526,poziom,poziom,poziomu,poziomowi,poziom,poziomem,poziomie,poziomie!
527,lunch,lunch,lunchu,lunchowi,lunch,lunchem,lunchu,lunchu
528,muzyka,muzyka,muzyki,muzyce,muzykę,muzyką,muzyce,muzyko
529,kierunek,kierunek,kierunku,kierunkowi,kierunek,kierunkiem,kierunku,kierunku!
530,żart,żart,żartu,żartowi,żart,żartem,żarcie,żarcie
533,zdrowie,zdrowie,zdrowia,zdrowiu,zdrowie,zdrowiem,zdrowiu,zdrowie!
534,mila,mila,mili,mili,milę,milą,mili,milo
537,niespodzianka,niespodzianka,niespodzianki,niespodziance,niespodziankę,niespodzianką,niespodziance,niespodzianko
538,widok,widok,widoku,widokowi,widok,widokiem,widoku,widoku!
539,przód,przód,przodu,przodowi,przód,przodem,przodzie,przodzie!
544,ochrona,ochrona,ochorony,ochronie,ochronę,ochroną,ochronie,ochrono
545,test,test,testu,testowi,test,testem,teście,teście!
548,strach,strach,strachu,strachowi,strach,strachem,strachu,strachu
549,rozmowa,rozmowa,rozmowy,rozmowie,rozmowę,rozmową,rozmowie,rozmowo
553,pociąg,pociąg,pociągu,pociągowi,pociąg,pociągiem,pociągu,pociągu
554,państwo,państwo,państwa,państwu,państwo,państwem,państwie,państwo
556,przypadek,przypadek,przypadku,przypadkowi,przypadek,przypadkiem,przypadku,przypadku!
560,alarm,alarm,alarmu,alarmowi,alarm,alarmem,alarmie,alarmie
565,iż,Iza,Izy,Izie,Izę,Izą,Izie,Izo
567,operacja,operacja,operacji,operacji,operację,operacją,operacji,operacjo
568,jakość,jakość,jakości,jakości,jakość,jakością,jakości,jakości!
569,kotek,kotek,kotka,kotkowi,kotka,kotkiem,kotku,kotku
571,decyzja,decyzja ,decyzji,decyzji,decyzję,decyzją,decyzji,decyzjo!
572,szaleństwo,szaleństwo,szaleństwa,szaleństwu,szaleństwo,szaleństwem,szaleństwie,szaleństwo
573,język,język,języka,językowi,język,językiem,języku,język
575,wiec,wiec,wiecu,wiecowi,wiec,wiecem,wiecu,wiecu
576,wzgląd,wzgląd,względu,względowi,wzgląd,wzglądem,względzie,względzie
577,układ,układ,układu,układowi,układ,układem,układzie,układzie
586,wynik,wynik,wyniku,wynikowi,wynik,wynikiem,wyniku,wyniku!
588,niebo,niebo,nieba,niebu,niebo,niebem,niebie,niebo
589,południe,południe,południa,południu,południe,południem,południu,południe!
590,armia,armia,armii,armii,armię,armią,armii,armio
591,punkt,punkt,punktu,punktowi,punkt,punktem,punkcie,punkcie
592,stopa,stopa,stopy,stopie,stopę,stopą,stopie,stopo!
601,umysł,umysł,umysłu,umysłowi,umysł,umysłem,umyśle,umyśle
602,detektyw,detektyw,detektywa,detektywowi,detektywa,detektywem,detektywie,detektywie!
603,koń,koń,konia,koniowi,konia,koniem,koniu,koniu!
604,zmiana,zmiana,zmiany,zmianie,zmianę,zmianą,zmianie,zmiano!
605,różnica,różnica,różnicy,różnicy,różnicę,różnicą,różnicy,różnico
606,lista,lista,listy,liście,listę,listą,liście,listo!
607,wujek,wujek,wujka,wujkowi,wujka,wujkiem,wujku,wujku!
608,nóż,nóż,noża,nożowi,nóż,nożem,nożu,nożu
610,radio,radio,radia,radiu,radio,radiem,radiu / radio,radio
615,wolność,wolność,wolności,wolności,wolność,wolnością,wolności,wolności!
617,okolica,okolica,okolicy,okolicy,okolicę,okolicą,okolicy,okolico!
621,północ,północ,północy,północy,północ,północą,północy,północy
623,pokład,pokład,pokładu,pokładowi,pokład,pokładem,pokładzie,pokładzie
624,cisza,cisza,ciszy,ciszy,ciszę,ciszą,ciszy,ciszo!
625,klasa,klasa,klasy,klasie,klasę,klasą,klasie,klaso
626,nos,nos,nosa,nosowi,nos,nosem,nosie,nosie!
627,szlag,szlag,szlag,szlag,szlag,szlag,szlag,szlag
629,sala,sala,sali,sali,salę,salą,sali,salo!
632,pamięć,pamięć,pamięci,pamięci,pamięć,pamięcią,pamięci,pamięci
637,tatuś,tatuś,tatusia,tatusiowi,tatusia,tatusiem,tatusiu,tatusiu
638,przeszłość,przeszłość,przeszłości,przeszłości,przeszłość,przeszłością,przeszłości,przeszłości
640,ubranie,ubranie,ubrania,ubraniu,ubranie,ubraniem,ubraniu,ubranie!
641,sklep,sklep,sklepu,sklepowi,sklep,sklepem,sklepie,sklepie
643,baza,baza,bazy,bazie,bazę,bazą,bazie,bazo
647,piątek,piątek,piątku,piątkowi,piątek,piątkiem,piątku,piątku
649,randka,randka,randki,randce,randkę,randką,randce,randko!
651,pieprz,pieprz,pieprzu,pieprzowi,pieprz,pieprzem,pieprzu,pieprzu
652,miecz,miecz,miecza,mieczowi,miecz,mieczem,mieczu,mieczu
